BW or Color,Budget,Currency,Genre,MPAA,Month of Release,Rating,Runtime,Title,Year
Color,18000000,$,ActionAdventure,PG,June,8.4,115,Indiana Jones and the Raiders of the Lost Ark,1981
Color,19000000,$,DramaHorror,R,May,8.4,142,The Shining,1980
Color,31500000,$,DramaMysteryWar,R,August,8.4,182,Apocalypse Now,1979
Color,11000000,$,HorrorSci-Fi,R,May,8.4,116,Alien,1979
Black and White,,,CrimeDramaMysteryThriller,,July,8.4,143,High and Low,1963
Black and White,1800000,$,Comedy,PG,July,8.4,95,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
Black and White,3000000,$,CrimeDramaMysteryThriller,,February,8.4,116,Witness for the Prosecution,1957
Black and White,935000,$,DramaWar,,December,8.4,88,Paths of Glory,1957
Black and White,1752000,$,DramaFilm-Noir,,May,8.4,104,Sunset Blvd.,1950
Black and White,2000000,$,ComedyDramaWar,,March,8.4,125,The Great Dictator,1940
Color,,,ComedyDrama,,September,8.3,143,Chhichhore,2019
Color,95000000,$,DramaThrillerWar,R,December,8.3,119,1917,2019
Color,,,DramaFantasyHorrorThriller,,October,8.3,104,Tumbbad,2018
Color,35000000,INR,CrimeDramaThriller,,December,8.3,,Drishyam,2013
Color,3800000,$,Drama,R,July,8.3,115,The Hunt,2012
Color,500000,$,Drama,PG-13,January,8.3,123,A Separation,2011
Color,6800000,$,DramaMysteryWar,R,April,8.3,131,Incendies,2010
Color,3600000,$,DramaWar,R,February,8.3,130,Dara of Jasenovac,2020
Color,,,Drama,PG-13,February,8.3,97,The Father,2020
Color,,,DramaFamily,,November,8.3,113,My Father and My Son,2005
Color,70000000,$,AdventureDramaWar,R,August,8.3,153,Inglourious Basterds,2009
Color,20000000,$,DramaRomanceSci-Fi,R,March,8.3,108,Eternal Sunshine of the Spotless Mind,2004
Color,10000000,$,ComedyRomance,R,November,8.3,122,Amélie,2001
Color,6000000,GBP,ComedyCrime,R,December,8.3,104,Snatch,2000
Color,4500000,$,Drama,R,October,8.3,102,Requiem for a Dream,2000
Color,15000000,$,Drama,R,September,8.3,122,American Beauty,1999
Color,10000000,$,DramaRomance,R,December,8.3,126,Good Will Hunting,1997
Color,180000,$,DramaFamilySport,PG,January,8.3,89,Children of Heaven,1997
Color,30000000,$,AdventureAnimationComedyFamilyFantasy,,November,8.3,74,Toy Story,1995
