BW or Color,Budget,Currency,Genre,MPAA,Month of Release,Rating,Runtime,Title,Year
Color,,,AdventureBiographyDramaFamilyHistory,PG,December,8.0,113,Togo,2019
Color,4400000,$,DramaHistory,,Trivia,8.0,119,Airlift,2016
Color,,,ActionAdventureComedyDrama,,July,8.0,163,Bajrangi Bhaijaan,2015
Color,,,ActionThriller,,January,8.0,159,Baby,2015
Color,30000000,$,ComedyDramaMusicMusicalRomance,PG-13,December,8.0,128,La La Land,2016
Color,12000000,$,BiographyDrama,PG-13,November,8.0,118,Lion,2016
Color,108000000,$,AdventureDramaSci-Fi,PG-13,October,8.0,151,The Martian,2015
Color,150000000,$,AdventureAnimationComedyCrimeFamilyMystery,PG,March,8.0,108,Zootopia,2016
Color,18026148,$,ActionDrama,,July,8.0,159,Baahubali: The Beginning,2015
Color,5000000000,JPY,AdventureAnimationDramaFamilyFantasy,PG,October,8.0,137,The Tale of The Princess Kaguya,2013
Color,20000000,$,DramaFamily,PG,November,8.0,113,Wonder,2017
Color,,,DramaMusicRomance,,February,8.0,154,Gully Boy,2019
Color,,,CrimeDramaThriller,,February,8.0,144,Special 26,2013
Color,,,Drama,R,August,8.0,96,Short Term 12,2013
Color,4500000,$,ActionCrimeThriller,R,March,8.0,150,The Raid 2,2014
Color,14000000,$,BiographyDramaThrillerWar,PG-13,November,8.0,114,The Imitation Game,2014
Color,170000000,$,ActionAdventureComedySci-Fi,PG-13,August,8.0,121,Guardians of the Galaxy,2014
Color,150000000,$,ActionDramaMysterySci-FiThriller,R,October,8.0,164,Blade Runner 2049,2017
Color,23000000,$,DramaRomanceSci-Fi,R,December,8.0,126,Her,2013
Color,135000000,$,ActionAdventureDramaHistoryWestern,R,December,8.0,156,The Revenant,2015
Color,13000000,$,DramaRomance,PG-13,September,8.0,103,The Perks of Being a Wallflower,2012
Color,,,ActionCrimeDramaThriller,,November,8.0,95,Elite Squad 2: The Enemy Within,2010
Color,15000000,$,BiographyDramaHistory,R,November,8.0,118,The King's Speech,2010
Color,25000000,$,Drama,PG-13,August,8.0,146,The Help,2011
Color,58000000,$,ActionAdventureComedySci-Fi,R,February,8.0,108,Deadpool,2016
Color,,,DramaMystery,,April,8.0,119,Darbareye Elly,2009
Color,60000000,INR,DramaRomance,,February,8.0,144,Dev.D,2009
Color,11715578,$,ActionBiographyDramaHistory,R,December,8.0,106,Yip Man,2008
Color,12000000,$,Drama,PG-13,February,8.0,128,My Name Is Khan,2010
Color,2000000,$,ActionDramaThrillerWar,,October,8.0,128,Nefes: Vatan Sagolsun,2009
Color,15000000,$,DramaRomance,R,November,8.0,120,Slumdog Millionaire,2008
Color,13000000,$,DramaThriller,R,December,8.0,108,Black Swan,2010
Color,4000000,$,ActionCrimeDramaThriller,R,September,8.0,115,Elite Squad,2007
Color,220000000,$,ActionAdventureSci-Fi,PG-13,May,8.0,173,The Avengers,2012
Color,7300000,$,AnimationBiographyDramaHistoryWar,PG-13,December,8.0,89,Persepolis,2007
Color,5000000,$,BiographyDrama,R,November,8.0,117,Dallas Buyers Club,2013
Color,120000000,INR,ComedyDramaRomance,,September,8.0,144,Lage Raho Munna Bhai,2006
Color,55000000,$,BiographyDrama,PG-13,December,8.0,117,The Pursuit of Happyness,2006
Color,100000000,$,AdventureDramaThriller,R,December,8.0,143,Blood Diamond,2006
Color,110000000,$,ActionMysteryThriller,PG-13,August,8.0,115,The Bourne Ultimatum,2007
Color,1000000,$,CrimeDramaRomance,R,May,8.0,84,3-Iron,2004
Black and White,40000000,$,CrimeThriller,R,April,8.0,147,Sin City,2005
Color,,,BiographyDrama,PG-13,December,8.0,112,The Diving Bell and the Butterfly,2007
Color,12800000,$,ActionDramaWar,R,September,8.0,148,Tae Guk Gi: The Brotherhood of War,2004
Color,5000000,$,AdventureComedySci-Fi,,November,8.0,89,G.O.R.A.,2004
Color,150000000,$,AdventureAnimationComedyFamilyFantasy,G,July,8.0,111,Ratatouille,2007
Color,150000000,$,ActionAdventureThriller,PG-13,November,8.0,144,Casino Royale,2006
Color,30000000,$,ActionCrimeThriller,R,April,8.0,137,Kill Bill: Vol. 2,2004
Color,,,Drama,,February,8.0,99,The Return,2003
Color,,,DramaRomance,R,April,8.0,103,"Spring, Summer, Fall, Winter... and Spring",2003
Color,10000000,EUR,BiographyDrama,PG-13,December,8.0,126,The Sea Inside,2004
Color,88000000,$,BiographyDramaHistoryRomanceSport,PG-13,June,8.0,144,Cinderella Man,2005
Color,6428966,$,ActionCrimeDramaMysteryThriller,R,September,8.0,97,Infernal Affairs,2002
Color,140000000,$,ActionAdventureFantasy,PG-13,July,8.0,143,Pirates of the Caribbean: The Curse of the Black Pearl,2003
Color,70000000,$,AdventureDramaFantasyRomance,PG-13,December,8.0,125,Big Fish,2003
Color,92000000,$,ActionAdventureAnimationFamily,,November,8.0,115,The Incredibles,2004
Color,,,ComedyDramaRomance,,July,8.0,137,My Sassy Girl,2001
Color,10000000,$,CrimeDrama,R,March,8.0,178,Dogville,2003
Color,2500000,$,ComedyDrama,,February,8.0,110,Vizontele,2001
Color,6000000,$,DramaMysterySci-FiThriller,R,October,8.0,134,Donnie Darko,2001
Color,37000000,$,Drama,R,December,8.0,188,Magnolia,1999
Color,12800000,$,CrimeDramaMusical,R,September,8.0,140,Dancer in the Dark,2000
Color,10000000,$,BiographyDrama,,October,8.0,112,The Straight Story,1999
Color,3000000,JPY,AnimationCrimeMysteryThriller,R,August,8.0,76,Perfect Blue,1997
Color,2900000,$,Drama,R,November,8.0,110,Central Station,1998
Color,70000000,$,ActionAdventureAnimationComedyDramaFamilySci-Fi,PG,August,8.0,90,The Iron Giant,1999
Color,1000000,$,Drama,R,December,8.0,148,Sling Blade,1996
Color,4500000,$,ComedyDrama,R,September,8.0,136,Secrets & Lies,1996
Color,29000001,$,MysterySci-FiThriller,R,January,8.0,129,12 Monkeys,1995
Color,600000000,JPY,ActionAnimationCrimeDramaMysterySci-FiThriller,,February,8.0,83,Ghost in the Shell,1995
Color,18000000,$,AnimationFamilyFantasyMusical,PG,October,8.0,76,The Nightmare Before Christmas,1993
Color,14600000,$,ComedyFantasyRomance,PG,February,8.0,101,Groundhog Day,1993
Color,35000000,$,CrimeDrama,R,May,8.0,330,"Blood In, Blood Out",1993
Color,31000000,$,Drama,R,December,8.0,156,Scent of a Woman,1992
Color,28000000,$,AdventureAnimationComedyFamilyFantasyMusicalRomance,,November,8.0,90,Aladdin,1992
Color,40000000,$,DramaHistoryThriller,R,December,8.0,206,JFK,1991
Color,25000000,$,AnimationFamilyFantasyMusicalRomance,,November,8.0,91,Beauty and the Beast,1991
Color,22000000,$,AdventureDramaWestern,,November,8.0,236,Dances with Wolves,1990
Color,6500000,$,ComedyDrama,,July,8.0,120,Do the Right Thing,1989
Color,25000000,$,Drama,,December,8.0,133,Rain Man,1988
Color,1100000000,JPY,ActionAnimationSci-FiThriller,R,January,8.0,124,Akira,1988
Color,,,DramaFantasyRomance,,May,8.0,128,Wings of Desire,1987
Color,,,DramaWar,,February,8.0,104,Au Revoir les Enfants,1987
Color,3300000,$,AdventureAnimationDramaFamilyFantasySci-Fi,,November,8.0,125,Castle in the Sky,1986
Color,6400000,$,ActionSci-Fi,,October,8.0,107,The Terminator,1984
Color,12000000,$,DramaFantasyMusic,,September,8.0,95,Pink Floyd: The Wall,1982
Color,22000000,$,BiographyDramaHistory,,December,8.0,191,Gandhi,1982
Color,6000000,$,DramaHistoryWar,,October,8.0,152,Kagemusha,1980
Color,,,ComedyDrama,,February,8.0,130,Being There,1979
Color,4000000,$,ComedyRomance,,April,8.0,93,Annie Hall,1977
Color,8500000,$,BiographyDramaHistoryThriller,,April,8.0,138,All the President's Men,1976
Color,7000000,$,AdventureThriller,,June,8.0,130,Jaws,1975
Color,1800000,$,BiographyCrimeDramaThriller,,December,8.0,131,Dog Day Afternoon,1975
Black and White,2800000,$,Comedy,,December,8.0,106,Young Frankenstein,1974
Color,12000000,$,BiographyCrimeDrama,R,December,8.0,151,Papillon,1973
Color,11000000,$,Horror,R,September,8.0,132,The Exorcist,1973
Color,,,MysteryThriller,,December,8.0,138,Sleuth,1972
Black and White,1300000,$,DramaRomance,R,October,8.0,126,The Last Picture Show,1971
Color,9000000,$,DramaFamilyMusicalRomance,,November,8.0,181,Fiddler on the Roof,1971
Color,750000,$,Drama,,March,8.0,108,The Conformist,1970
Color,6000000,$,BiographyCrimeDramaWestern,PG,September,8.0,110,Butch Cassidy and the Sundance Kid,1969
Color,2300000,$,DramaHorror,,June,8.0,137,Rosemary's Baby,1968
Color,5800000,$,AdventureSci-Fi,G,April,8.0,112,Planet of the Apes,1968
Color,3000000,$,ComedyDramaRomance,PG,February,8.0,106,The Graduate,1967
Black and White,7500000,$,Drama,,June,8.0,131,Who's Afraid of Virginia Woolf?,1966
Color,8200000,$,BiographyDramaFamilyMusicalRomance,,September,8.0,138,The Sound of Music,1965
Color,11000000,$,DramaRomanceWar,PG-13,December,8.0,200,Doctor Zhivago,1965
Color,200000,$,ActionDramaWestern,R,January,8.0,99,A Fistful of Dollars,1964
Black and White,,,Drama,,April,8.0,138,8½,1963
Black and White,64000,$,Drama,,June,8.0,83,Vivre Sa Vie,1962
Black and White,2000000,$,DramaSport,,September,8.0,134,The Hustler,1961
Black and White,,,ComedyDrama,,April,8.0,180,La Dolce Vita,1960
Color,,,ActionDramaWestern,,April,8.0,141,Rio Bravo,1959
Black and White,,,CrimeDramaMysteryThriller,,July,8.0,141,Anatomy of a Murder,1959
Black and White,829000,$,CrimeDramaFilm-NoirThriller,PG-13,September,8.0,111,Touch of Evil,1958
Color,3000000,$,Drama,,August,8.0,108,Cat on a Hot Tin Roof,1958
Black and White,320000,$,CrimeDramaFilm-NoirThriller,,June,8.0,84,The Killing,1956
Black and White,795000,$,CrimeDramaFilm-NoirThriller,,November,8.0,92,The Night of the Hunter,1955
Black and White,,,Drama,,July,8.0,108,La Strada,1954
Black and White,1661530,$,ComedyDramaWar,,August,8.0,120,Stalag 17,1953
Black and White,1500000,$,ComedyRomance,,September,8.0,117,Roman Holiday,1953
Black and White,730000,$,DramaThrillerWestern,PG,July,8.0,85,High Noon,1952
Black and White,1800000,$,Drama,PG,December,8.0,125,A Streetcar Named Desire,1951
Black and White,1200000,$,CrimeFilm-NoirThriller,PG,June,8.0,103,Strangers on a Train,1951
Black and White,,,DramaFilm-NoirMysteryRomanceThriller,,,8.0,94,In a Lonely Place,1950
Black and White,,,ComedyCrime,,December,8.0,106,Kind Hearts and Coronets,1949
Color,1500000,$,CrimeDramaMysteryThriller,,September,8.0,80,Rope,1948
Black and White,,,CrimeDramaFilm-NoirRomanceThriller,,,8.0,97,Out of the Past,1947
Black and White,2000000,$,DramaFilm-NoirRomanceThriller,,September,8.0,102,Notorious,1946
Black and White,170000,GBP,DramaRomance,,August,8.0,86,Brief Encounter,1945
Black and White,1020000,$,DramaFilm-NoirMystery,,,8.0,88,Laura,1944
Black and White,1120175,$,ComedyCrimeThriller,,September,8.0,118,Arsenic and Old Lace,1943
Black and White,375000,$,CrimeFilm-NoirMysteryRomance,,October,8.0,100,The Maltese Falcon,1941
Color,2777000,$,AdventureFamilyFantasyMusical,PG,November,8.0,102,The Wizard of Oz,1939
Black and White,5500500,FRF,ComedyDrama,,April,8.0,106,The Rules of the Game,1939
Black and White,226408,$,ComedyCrimeMystery,,Taglines,8.0,91,The Thin Man,1934
Black and White,,,DramaHistoryThrillerWar,,January,8.0,72,Battleship Potemkin,1925
Color,40000000,$,ComedyCrimeDramaMysteryThriller,PG-13,December,7.9,130,Knives Out,2019
Color,,,CrimeDrama,R,November,7.9,121,Shoplifters,2018
Color,,,AdventureAnimationComedyFamilySci-Fi,PG,April,7.9,113,The Mitchells vs the Machines,2021
Color,18600000,$,ComedyDramaRomance,R,December,7.9,137,Marriage Story,2019
Color,4000000,EUR,DramaRomance,R,November,7.9,132,Call Me by Your Name,2017
Color,,,Drama,R,June,7.9,100,"I, Daniel Blake",2016
Color,,,AdventureAnimationComedyDramaFantasySci-Fi,PG-13,March,7.9,101,Isle of Dogs,2018
Color,,,AdventureComedyDrama,PG-13,June,7.9,101,Hunt for the Wilderpeople,2016
Color,,,BiographyDramaSport,,October,7.9,184,M.S. Dhoni: The Untold Story,2016
Color,,,ComedyDrama,R,July,7.9,118,Captain Fantastic,2016
Color,,,ComedyDramaMusicRomance,PG-13,April,7.9,106,Sing Street,2016
Color,180000000,$,ActionAdventureComedyFantasySci-Fi,PG-13,November,7.9,130,Thor: Ragnarok,2017
Color,14000000,$,ComedyDramaWar,PG-13,October,7.9,108,Jojo Rabbit,2019
Color,47000000,$,DramaSci-Fi,PG-13,November,7.9,116,Arrival,2016
Color,245000000,$,ActionAdventureSci-Fi,PG-13,December,7.9,138,Star Wars: Episode VII - The Force Awakens,2015
Color,3000000,$,DramaRomance,R,May,7.9,109,Before Midnight,2013
Color,200000000,$,ActionAdventureSci-FiThriller,PG-13,May,7.9,149,X-Men: Days of Future Past,2014
Color,,,CrimeDrama,,January,7.9,157,Once Upon a Time in Anatolia,2011
Color,52000000,$,BiographyDramaMusic,PG-13,November,7.9,134,Bohemian Rhapsody,2018
Black and White,15000000,$,ComedyDramaRomance,PG-13,November,7.9,100,The Artist,2011
Color,178000000,$,ActionAdventureSci-Fi,PG-13,June,7.9,113,Edge of Tomorrow,2014
Color,8900000,$,Drama,PG-13,December,7.9,127,Amour,2012
Color,13000000,$,CrimeDrama,R,February,7.9,155,A Prophet,2009
Color,5000000,$,DramaMysterySci-Fi,R,June,7.9,97,Moon,2009
Color,4000000,$,CrimeDramaFantasyHorrorRomance,R,October,7.9,114,Let the Right One In,2008
Color,30000000,$,ActionSci-FiThriller,R,August,7.9,112,District 9,2009
Color,6000000,$,DramaSport,R,December,7.9,109,The Wrestler,2008
Color,170000000,INR,ComedyDramaRomance,,October,7.9,138,Jab We Met,2007
Color,4000000,$,Drama,R,July,7.9,165,Boyhood,2014
Color,590000,EUR,Drama,,January,7.9,113,"4 Months, 3 Weeks and 2 Days",2007
Color,150000000,$,ActionAdventureSci-Fi,PG-13,May,7.9,127,Star Trek,2009
Color,15000000,$,ComedyCrimeDramaThriller,R,February,7.9,107,In Bruges,2008
Color,200000,$,DramaFantasyMysterySci-Fi,,November,7.9,87,The Man from Earth,2007
Color,19000000,$,ActionAdventureDramaHistoryWar,R,December,7.9,141,Letters from Iwo Jima,2006
Color,30000000,$,AdventureDramaFantasy,R,May,7.9,117,The Fall,2006
Color,120000000,$,AdventureDramaFantasy,PG,November,7.9,127,Life of Pi,2012
Color,40000000,$,AdventureAnimationComedyCrimeDramaFamily,PG,November,7.9,87,Fantastic Mr. Fox,2009
Color,6500000,CAD,ComedyDrama,,March,7.9,127,C.R.A.Z.Y.,2005
Color,5500000,EUR,ComedyDramaMusic,PG-13,January,7.9,97,The Chorus,2004
Color,140000000,$,ActionAdventureSci-Fi,PG-13,May,7.9,126,Iron Man,2008
Color,4000000,GBP,ComedyHorror,R,September,7.9,99,Shaun of the Dead,2004
Color,,,ComedyDramaMusicalRomance,,November,7.9,186,Kal Ho Naa Ho,2003
Color,,,DramaRomance,R,January,7.9,121,Head-On,2004
Color,25000000,$,CrimeDramaMysteryThriller,R,October,7.9,138,Mystic River,2003
Color,130000000,$,AdventureFamilyFantasyMystery,PG,June,7.9,142,Harry Potter and the Prisoner of Azkaban,2004
Color,31000000,$,ActionAdventureHistory,PG-13,August,7.9,94,Hero,2002
Color,,,DramaMysteryRomance,R,November,7.9,104,Talk to Her,2002
Color,2000000,EUR,ComedyDramaWar,R,December,7.9,90,No Man's Land,2001
Color,,,ActionAnimationCrimeDramaSci-FiThriller,,April,7.9,115,Cowboy Bebop: The Movie,2001
Color,60000000,$,ActionMysteryThriller,PG-13,June,7.9,119,The Bourne Identity,2002
Color,1500000,$,CrimeDramaThriller,R,April,7.9,114,Nine Queens,2000
Color,76000000,$,AdventureDramaSci-FiThriller,R,December,7.9,109,Children of Men,2006
Color,,,Drama,R,November,7.9,101,All About My Mother,1999
Color,60000000,$,AdventureComedyDramaMusic,R,September,7.9,152,Almost Famous,2000
Color,15000000,$,DramaMysteryThriller,R,October,7.9,147,Mulholland Dr.,2001
Color,60000000,$,AdventureAnimationComedyFamilyFantasy,PG,May,7.9,90,Shrek,2001
Color,90000000,$,AdventureAnimationComedyFamilyFantasy,,November,7.9,82,Toy Story 2,1999
Color,4300000,DEM,ActionComedyCrimeDrama,,August,7.9,87,Knockin' on Heaven's Door,1997
Color,15000000,$,Drama,R,October,7.9,155,Boogie Nights,1997
Color,,,AnimationDramaFamilyMusicRomance,,December,7.9,111,Whisper of the Heart,1995
Color,,,CrimeDrama,R,March,7.9,102,Once Were Warriors,1994
Color,13000000,$,CrimeDramaRomanceThriller,R,September,7.9,121,True Romance,1993
Color,,,DramaMusicMysteryRomance,R,December,7.9,94,Three Colors: Blue,1993
Color,,,ActionAdventureAnimationFantasyThriller,,June,7.9,94,Ninja Scroll,1993
Color,30000000,$,CrimeDramaThriller,R,November,7.9,144,Carlito's Way,1993
Color,20000000,$,DramaFantasyRomance,,December,7.9,105,Edward Scissorhands,1990
Color,600000,GBP,BiographyDrama,,November,7.9,103,My Left Foot,1989
Color,19000000,$,ComedyDrama,,October,7.9,104,Crimes and Misdemeanors,1989
Color,25000000,$,CrimeDramaThriller,,June,7.9,119,The Untouchables,1987
Color,6400000,$,ComedyDrama,,February,7.9,107,Hannah and Her Sisters,1986
Color,15000000,$,DramaSci-Fi,R,December,7.9,142,Brazil,1985
Color,2500000,$,ComedyMusic,,March,7.9,82,This Is Spinal Tap,1984
Color,3300000,$,ComedyFamily,,November,7.9,93,A Christmas Story,1983
Color,27000000,$,ActionAdventureComedyCrimeMusicMusical,,June,7.9,148,The Blues Brothers,1980
Black and White,9000000,$,ComedyDramaRomance,,April,7.9,96,Manhattan,1979
Color,12000000,$,DramaMusicMusical,,December,7.9,123,All That Jazz,1979
Color,650000,$,HorrorThriller,,May,7.9,170,Dawn of the Dead,1978
Color,750000,$,AdventureDramaFantasy,,January,7.9,114,The Holy Mountain,1973
Color,,,ComedyDrama,,October,7.9,123,Amarcord,1973
Color,800000,$,Comedy,,October,7.9,102,The Discreet Charm of the Bourgeoisie,1972
Color,370000,$,ActionAdventureBiographyDramaHistory,,April,7.9,95,"Aguirre, the Wrath of God",1972
Color,1200000,$,ComedyDramaRomance,,December,7.9,91,Harold and Maude,1971
Color,12000000,$,BiographyDramaWar,PG,April,7.9,172,Patton,1970
Color,6244087,$,ActionAdventureWestern,,June,7.9,145,The Wild Bunch,1969
Black and White,114000,$,HorrorThriller,,October,7.9,85,Night of the Living Dead,1968
Color,4000000,$,BiographyDramaHistory,,December,7.9,137,The Lion in Winter,1968
Color,2000000,$,CrimeDramaMysteryThriller,,August,7.9,110,In the Heat of the Night,1967
Color,3000000,$,ComedyMysteryRomanceThriller,,December,7.9,113,Charade,1963
Black and White,2200000,$,DramaThriller,PG-13,February,7.9,126,The Manchurian Candidate,1962
Color,12000000,$,AdventureBiographyDramaHistoryWar,,April,7.9,184,Spartacus,1960
Black and White,,,DramaMysteryRomance,,March,7.9,102,L'Avventura,1960
Black and White,,,DramaRomance,,October,7.9,90,Hiroshima Mon Amour,1959
Color,13282712,$,AdventureDrama,,October,7.9,231,The Ten Commandments,1956
Color,3750000,$,AdventureDramaWestern,,May,7.9,119,The Searchers,1956
Color,,,Drama,PG,April,7.9,118,East of Eden,1955
Black and White,,,ComedyDramaFantasy,,December,7.9,111,Harvey,1950
Black and White,,,ComedyDramaFamily,,July,7.9,101,Miracle on 34th Street,1947
Black and White,250000,$,CrimeFilm-NoirMysteryThriller,,August,7.9,116,The Big Sleep,1946
Black and White,1250000,$,DramaFilm-Noir,,,7.9,101,The Lost Weekend,1945
Black and White,,,ComedyRomance,,February,7.9,112,The Philadelphia Story,1940
Black and White,,,ComedyDramaRomance,,January,7.9,92,His Girl Friday,1940
Black and White,392000,$,AdventureDramaWestern,,March,7.9,96,Stagecoach,1939
Black and White,1073000,$,ComedyFamilyRomance,,February,7.9,102,Bringing Up Baby,1938
Color,1900000,$,ActionAdventureRomance,PG,May,7.9,102,The Adventures of Robin Hood,1938
Black and White,,,ComedyMusicMusical,,Taglines,7.9,91,A Night at the Opera,1935
Black and White,670000,$,AdventureHorrorSci-Fi,,April,7.9,125,King Kong,1933
Black and White,310607,$,DramaHorror,,February,7.9,64,Freaks,1932
Black and White,,,FantasyHorror,,Alternate,7.9,84,Nosferatu,1922
Color,22000000,$,ActionComedyCrime,R,January,7.8,113,The Gentlemen,2019
Color,300000000,INR,ActionDramaThriller,,May,7.8,138,Raazi,2018
Color,,,DramaMusic,R,December,7.8,130,Sound of Metal,2019
Color,,,Drama,PG-13,January,7.8,124,The Salesman,2016
Color,100000000,$,ActionDramaHistoryThrillerWar,PG-13,July,7.8,106,Dunkirk,2017
Color,,,ComedyDrama,,February,7.8,96,Perfect Strangers,2016
Color,25000000,$,BiographyDramaHistory,PG,December,7.8,127,Hidden Figures,2016
Color,40000000,$,AdventureAnimationComedyFamilyFantasy,PG,January,7.8,103,Paddington 2,2017
Color,5900000,$,ActionCrimeDrama,,June,7.8,148,Udta Punjab,2016
Color,60000000,$,ActionAdventureAnimationFamilyFantasy,PG,August,7.8,101,Kubo and the Two Strings,2016
Color,9000000,$,Drama,R,November,7.8,137,Manchester by the Sea,2016
Color,35500000,DKK,DramaHistoryWar,R,December,7.8,100,Land of Mine,2015
Color,200000000,$,ActionAdventureSci-Fi,PG-13,December,7.8,133,Rogue One: A Star Wars Story,2016
Color,250000000,$,ActionAdventureSci-Fi,PG-13,May,7.8,147,Captain America: Civil War,2016
Color,44000000,$,CrimeDramaMysteryThrillerWestern,R,December,7.8,213,The Hateful Eight,2015
Color,40000000,$,DramaRomance,PG,December,7.8,135,Little Women,2019
Color,5000000,EUR,AnimationBiographyCrimeDramaMystery,PG-13,September,7.8,94,Loving Vincent,2017
Color,,,BiographyComedyDramaHistoryRomance,R,September,7.8,119,Pride,2014
Color,8500000,$,CrimeDramaThriller,R,November,7.8,117,Nightcrawler,2014
Color,9200000,EUR,Drama,,November,7.8,174,The Great Beauty,2013
Color,1000000,$,DramaRomance,PG,March,7.8,104,The Lunchbox,2013
Color,,,ComedyRomance,,April,7.8,126,Vicky Donor,2012
Color,165000000,$,ActionAdventureAnimationFamilySci-Fi,PG,November,7.8,102,Big Hero 6,2014
Color,,,DramaSport,,February,7.8,130,Kai Po Che,2013
Color,12000000,$,ComedyDramaFantasyRomanceSci-Fi,R,November,7.8,123,About Time,2013
Color,,,ComedyDramaFamily,,October,7.8,134,English Vinglish,2012
Color,30000000,$,AnimationBiographyDramaHistoryRomanceWar,PG-13,February,7.8,126,The Wind Rises,2013
Color,13500000,EUR,CrimeDramaMysteryRomance,R,January,7.8,131,The Best Offer,2013
Color,16000000,$,ComedyDramaRomance,PG-13,May,7.8,94,Moonrise Kingdom,2012
Color,145000000,$,ActionAdventureAnimationFamilyFantasy,PG,June,7.8,102,How to Train Your Dragon 2,2014
Color,28000000,$,BiographyComedyDramaHistory,R,December,7.8,130,The Big Short,2015
Color,,,ActionCrimeDramaHorrorThriller,,March,7.8,144,I Saw the Devil,2010
Color,90000000,$,CrimeDramaMysteryThriller,R,December,7.8,158,The Girl with the Dragon Tattoo,2011
Color,55000000,$,AdventureBiographyCrimeDramaThriller,PG-13,October,7.8,134,Captain Phillips,2013
Color,,,ActionCrimeDramaThriller,R,October,7.8,119,The Man from Nowhere,2010
Color,28000000,$,BiographyDramaHistoryMusic,R,August,7.8,167,Straight Outta Compton,2015
Color,159000000,$,BiographyCrimeDrama,R,November,7.8,209,The Irishman,2019
Color,5000000,$,CrimeDramaMysteryThriller,R,March,7.8,129,Mother,2009
Color,2650000,$,ActionCrimeThriller,,February,7.8,125,The Chaser,2008
Color,225000000,$,AdventureFantasy,PG-13,December,7.8,186,The Hobbit: The Desolation of Smaug,2013
Black and White,18000000,$,DramaHistoryMysteryThriller,R,January,7.8,144,The White Ribbon,2009
Color,13000000,$,CrimeDramaMysteryThriller,R,March,7.8,186,The Girl with the Dragon Tattoo,2009
Color,35000000,$,DramaHistoryThriller,R,October,7.8,129,The Trial of the Chicago 7,2020
Color,,,ComedyDrama,,December,7.8,117,Another Round,2020
Color,25000000,$,BiographyDramaSport,R,December,7.8,116,The Fighter,2010
Color,25000000,$,ActionCrimeThriller,PG-13,February,7.8,93,Taken,2008
Color,12500000,$,DramaHistoryWar,PG-13,November,7.8,94,The Boy in the Striped Pajamas,2008
Color,150000,$,DramaMusicRomance,R,May,7.8,86,Once,2007
Color,180000000,$,AdventureFantasy,PG-13,December,7.8,182,The Hobbit: An Unexpected Journey,2012
Color,,,Drama,,May,7.8,122,The Edge of Heaven,2007
Color,30000000,$,DramaMysteryRomanceWar,R,December,7.8,123,Atonement,2007
Color,15000000,$,CrimeDrama,R,September,7.8,100,Drive,2011
Color,100000000,$,BiographyCrimeDrama,R,November,7.8,176,American Gangster,2007
Color,237000000,$,ActionAdventureFantasySci-Fi,PG-13,December,7.8,178,Avatar,2009
Color,47000000,$,DramaFantasyRomanceSci-Fi,R,November,7.8,157,Mr. Nobody,2009
Color,40000000,$,ActionAdventureDramaThriller,R,December,7.8,139,Apocalypto,2006
Color,8000000,$,ComedyDrama,R,July,7.8,101,Little Miss Sunshine,2006
Color,8000000,GBP,ActionComedyMysteryThriller,R,April,7.8,121,Hot Fuzz,2007
Color,150000000,$,DramaFantasyRomance,PG-13,December,7.8,166,The Curious Case of Benjamin Button,2008
Color,7000000,$,DramaFamilyMusicalRomance,,November,7.8,192,Veer-Zaara,2004
Color,,,ComedyCrimeDrama,R,March,7.8,94,Adam's Apples,2005
Color,28000000,$,DramaRomance,PG,November,7.8,135,Pride & Prejudice,2005
Color,25000000,$,BiographyDramaSport,PG-13,March,7.8,127,The World's Fastest Indian,2005
Color,,,AdventureAnimationComedyDrama,PG-13,January,7.8,90,Tokyo Godfathers,2003
Color,39000000,$,ActionAdventureSci-FiThriller,PG-13,October,7.8,119,Serenity,2005
Color,28000000,$,BiographyDramaMusicRomance,PG-13,November,7.8,153,Walk the Line,2005
Color,22000000,SEK,Drama,,March,7.8,113,Evil,2003
Color,29000000,$,DramaRomance,PG-13,June,7.8,123,The Notebook,2004
Color,,,AdventureBiographyDrama,R,September,7.8,126,The Motorcycle Diaries,2004
Color,,,CrimeDrama,R,April,7.8,109,Lilya 4-Ever,2002
Color,9500000,$,AnimationComedyDrama,PG-13,November,7.8,80,The Triplets of Belleville,2003
Color,,,ActionDramaThrillerWar,,September,7.8,110,Joint Security Area,2000
Color,,,AnimationDramaFantasy,R,October,7.8,99,Waking Life,2001
Color,30000000,$,BiographyDramaSport,PG,October,7.8,119,Remember the Titans,2000
Color,17000000,$,ActionAdventureFantasyRomance,PG-13,December,7.8,120,"Crouching Tiger, Hidden Dragon",2000
Color,90000000,$,AdventureDramaRomance,PG-13,December,7.8,143,Cast Away,2000
Color,6000000,$,ActionCrimeThriller,R,January,7.8,102,The Boondock Saints,1999
Color,90000000,$,BiographyDramaThriller,R,November,7.8,157,The Insider,1999
Color,25000000,$,BiographyDramaFamily,PG,February,7.8,108,October Sky,1999
Color,200000000,$,DramaRomance,PG-13,December,7.8,194,Titanic,1997
Color,,,CrimeDramaRomanceThriller,,March,7.8,103,Fireworks,1997
Color,36000000,$,DramaSci-FiThriller,PG-13,October,7.8,106,Gattaca,1997
Color,50000000,$,DramaMysteryThriller,R,September,7.8,129,The Game,1997
Color,,,Drama,R,November,7.8,153,Breaking the Waves,1996
Black and White,18000000,$,BiographyComedyDrama,R,October,7.8,127,Ed Wood,1994
